y-val,Date
12.21961581,2017-11-09
11.40657003,2017-11-10
11.10485269,2017-11-13
11.27574925,2017-11-14
10.22957877,2017-11-15
12.86967064,2017-11-16
14.168064,2017-11-17
8.819496559,2017-11-20
10.64469524,2017-11-21
6.684276697,2017-11-22
0.343336799,2017-11-24
8.98369673,2017-11-27
12.71745152,2017-11-28
17.1477614,2017-11-29
22.54532106,2017-11-30
18.19149093,2017-12-01
24.62968579,2017-12-04
16.52517883,2017-12-05
12.41839821,2017-12-06
11.87960587,2017-12-07
11.19151035,2017-12-08
11.45541298,2017-12-11
14.46385308,2017-12-12
13.10630732,2017-12-13
14.70423427,2017-12-14
29.39743517,2017-12-15
13.37249366,2017-12-18
14.46982016,2017-12-19
12.74783521,2017-12-20
11.43060626,2017-12-21
6.870217168,2017-12-22
1.452366085,2017-12-26
4.970809042,2017-12-27
3.856449272,2017-12-28
4.979944494,2017-12-29
13.07012176,2018-01-02
12.47379895,2018-01-03
13.73587009,2018-01-04
10.98933999,2018-01-05
11.24395592,2018-01-08
8.516359887,2018-01-09
10.53488887,2018-01-10
10.14057221,2018-01-11
12.22280171,2018-01-12
14.83060528,2018-01-16
9.980898267,2018-01-17
10.10507638,2018-01-18
15.4864351,2018-01-19
12.36796083,2018-01-22
13.09023335,2018-01-23
15.35044746,2018-01-24
11.22617592,2018-01-25
11.49391317,2018-01-26
11.11263539,2018-01-29
14.83313387,2018-01-30
22.07099898,2018-01-31
11.16904375,2018-02-01
14.55026587,2018-02-02
20.82326547,2018-02-05
24.81183161,2018-02-06
12.11336284,2018-02-07
17.91449222,2018-02-08
23.30344163,2018-02-09
12.40919421,2018-02-12
6.58667742,2018-02-13
11.46814868,2018-02-14
7.856084141,2018-02-15
10.13641893,2018-02-16
11.76364008,2018-02-20
11.19584575,2018-02-21
7.084950945,2018-02-22
4.258347416,2018-02-23
6.082204473,2018-02-26
11.7101287,2018-02-27
18.50625785,2018-02-28
20.36606605,2018-03-01
16.53107231,2018-03-02
13.40531617,2018-03-05
9.557224015,2018-03-06
10.17387099,2018-03-07
10.3443273,2018-03-08
10.09018461,2018-03-09
9.714131799,2018-03-12
6.646149178,2018-03-13
6.396375375,2018-03-14
5.280553065,2018-03-15
20.31585036,2018-03-16
7.525699709,2018-03-19
4.518570496,2018-03-20
3.697771467,2018-03-21
11.71886869,2018-03-22
10.81333988,2018-03-23
9.443344808,2018-03-26
11.73535345,2018-03-27
11.74503154,2018-03-28
13.84354715,2018-03-29
17.98538047,2018-04-02
14.57391705,2018-04-03
15.08979512,2018-04-04
10.44614219,2018-04-05
11.44334119,2018-04-06
9.002549143,2018-04-09
12.60515579,2018-04-10
8.139163779,2018-04-11
9.706114652,2018-04-12
7.922319389,2018-04-13
9.721273014,2018-04-16
11.93051159,2018-04-17
7.368644401,2018-04-18
11.70379881,2018-04-19
14.2392361,2018-04-20
6.21720262,2018-04-23
11.58543375,2018-04-24
10.06323069,2018-04-25
15.26558499,2018-04-26
14.7790927,2018-04-27
17.40705529,2018-04-30
12.70951179,2018-05-01
13.15496528,2018-05-02
10.19687251,2018-05-03
8.845676142,2018-05-04
9.204730379,2018-05-07
13.27166013,2018-05-08
11.34783265,2018-05-09
8.992827535,2018-05-10
5.728114686,2018-05-11
8.217007963,2018-05-14
11.84478256,2018-05-15
6.860470595,2018-05-16
7.528208898,2018-05-17
8.879615481,2018-05-18
6.885145131,2018-05-21
10.30089003,2018-05-22
12.1510583,2018-05-23
9.902233356,2018-05-24
8.977695542,2018-05-25
10.86333043,2018-05-29
8.7254052,2018-05-30
20.0305561,2018-05-31
9.325027088,2018-06-01
10.25001182,2018-06-04
13.89478598,2018-06-05
11.17435892,2018-06-06
10.29138315,2018-06-07
8.113363807,2018-06-08
6.745384017,2018-06-11
9.519863597,2018-06-12
12.71580445,2018-06-13
9.850612961,2018-06-14
23.80649792,2018-06-15
8.828087299,2018-06-18
12.1994484,2018-06-19
11.45698237,2018-06-20
10.9982995,2018-06-21
19.75464391,2018-06-22
